ID,Artifact_Name,File_Path,Phase,Version,Status,Owner,Last_Updated,GitHub_URL,Linked_PR,Remarks
DOC-POL-ELA-DEVELOPM,ELA Development Policy.md,00_Policy/ELA_Development_Policy.md,Policy,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/00_Policy/ELA_Development_Policy.md,,
DOC-POL-ELA-POLICY-A,ELA Policy Addendum Blueprint.md,00_Policy/ELA_Policy_Addendum_Blueprint.md,Policy,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/00_Policy/ELA_Policy_Addendum_Blueprint.md,,
DOC-POL-SYSTEMS-INTE,Systems Integration Blueprint.md,00_Policy/Systems_Integration_Blueprint.md,Policy,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/00_Policy/Systems_Integration_Blueprint.md,,
DOC-DEF-DATA-FLOW,Data Flow.md,01_Definition/Architecture/Data_Flow.md,Definition,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/01_Definition/Architecture/Data_Flow.md,,
DOC-DEF-INTERFACE-CA,Interface Catalog.md,01_Definition/Architecture/Interface_Catalog.md,Definition,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/01_Definition/Architecture/Interface_Catalog.md,,
DOC-DEF-PROJECT-PLAN,Project Plan.md,01_Definition/Project_Plan.md,Definition,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/01_Definition/Project_Plan.md,,
DOC-DEF-README,README.md,01_Definition/README.md,Definition,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/01_Definition/README.md,,
DOC-DEF-REQUIREMENTS,Requirements Document.md,01_Definition/Requirements_Document.md,Definition,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/01_Definition/Requirements_Document.md,,
DOC-DEF-STAKEHOLDER,Stakeholder Register.md,01_Definition/Stakeholder_Register.md,Definition,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/01_Definition/Stakeholder_Register.md,,
TMP-DEF-PROJECT-PLAN,Project Plan Template.md,01_Definition/Templates/Project_Plan_Template.md,Definition,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/01_Definition/Templates/Project_Plan_Template.md,,
TMP-DEF-REQUIREMENTS,Requirements Document Template.md,01_Definition/Templates/Requirements_Document_Template.md,Definition,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/01_Definition/Templates/Requirements_Document_Template.md,,
TMP-DEF-STAKEHOLDER,Stakeholder Register Template.md,01_Definition/Templates/Stakeholder_Register_Template.md,Definition,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/01_Definition/Templates/Stakeholder_Register_Template.md,,
DOC-DEF-REVIEW-CHECK,Review Checklist.md,01_Definition/Validation/Review_Checklist.md,Definition,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/01_Definition/Validation/Review_Checklist.md,,
DOC-DEF-SIGNOFF-SHEE,Signoff Sheet.md,01_Definition/Validation/Signoff_Sheet.md,Definition,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/01_Definition/Validation/Signoff_Sheet.md,,
DOC-DES-README,README.md,02_Design/README.md,Design,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/02_Design/README.md,,
TMP-DES-API-SPEC-TEM,API Spec Template.md,02_Design/Templates/API_Spec_Template.md,Design,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/02_Design/Templates/API_Spec_Template.md,,
TMP-DES-COMPLIANCE-C,Compliance Checklist.md,02_Design/Templates/Compliance_Checklist.md,Design,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/02_Design/Templates/Compliance_Checklist.md,,
TMP-DES-ERD-TEMPLATE,ERD Template.md,02_Design/Templates/ERD_Template.md,Design,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/02_Design/Templates/ERD_Template.md,,
TMP-DES-INFRASTRUCTU,Infrastructure Design.md,02_Design/Templates/Infrastructure_Design.md,Design,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/02_Design/Templates/Infrastructure_Design.md,,
TMP-DES-SOLUTION-ARC,Solution Architecture Template.md,02_Design/Templates/Solution_Architecture_Template.md,Design,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/02_Design/Templates/Solution_Architecture_Template.md,,
TMP-DES-TECHNOLOGY-S,Technology Stack.md,02_Design/Templates/Technology_Stack.md,Design,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/02_Design/Templates/Technology_Stack.md,,
TMP-DEV-CODING-STAND,Coding Standards Template.md,03_Development/Templates/Coding_Standards_Template.md,Development,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/03_Development/Templates/Coding_Standards_Template.md,,
TMP-DEV-DEPLOYMENT-P,Deployment Plan Template.md,03_Development/Templates/Deployment_Plan_Template.md,Development,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/03_Development/Templates/Deployment_Plan_Template.md,,
TMP-DEV-PIPELINE-TEM,Pipeline Template.yml,03_Development/Templates/Pipeline_Template.yml,Development,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/03_Development/Templates/Pipeline_Template.yml,,
TMP-DEV-TEST-CASE-TE,Test Case Template.md,03_Development/Templates/Test_Case_Template.md,Development,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/03_Development/Templates/Test_Case_Template.md,,
DOC-INT-README,README.md,04_Systems_Integration/README.md,Integration,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/04_Systems_Integration/README.md,,
DOC-INT-SYSTEMS-INTE,Systems Integration Blueprint.md,04_Systems_Integration/Systems_Integration_Blueprint.md,Integration,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/04_Systems_Integration/Systems_Integration_Blueprint.md,,
TMP-INT-INTEGRATION,Integration Test Template.md,04_Systems_Integration/Templates/Integration_Test_Template.md,Integration,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/04_Systems_Integration/Templates/Integration_Test_Template.md,,
TMP-INT-INTERFACE-CO,Interface Control Document Template.md,04_Systems_Integration/Templates/Interface_Control_Document_Template.md,Integration,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/04_Systems_Integration/Templates/Interface_Control_Document_Template.md,,
DOC-VAL-README,README.md,05_Validation_Testing/README.md,Validation,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/05_Validation_Testing/README.md,,
TMP-VAL-TEST-PLAN-TE,Test Plan Template.md,05_Validation_Testing/Templates/Test_Plan_Template.md,Validation,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/05_Validation_Testing/Templates/Test_Plan_Template.md,,
TMP-VAL-TRACEABILITY,Traceability Matrix Template.md,05_Validation_Testing/Templates/Traceability_Matrix_Template.md,Validation,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/05_Validation_Testing/Templates/Traceability_Matrix_Template.md,,
TMP-VAL-UAT-CHECKLIS,UAT Checklist Template.md,05_Validation_Testing/Templates/UAT_Checklist_Template.md,Validation,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/05_Validation_Testing/Templates/UAT_Checklist_Template.md,,
DOC-MON-README,README.md,07_Monitoring_Control/README.md,Monitoring,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/07_Monitoring_Control/README.md,,
TMP-VAL-AUTOMATED-TE,Automated Test Report.md,05_Validation_Testing/Templates/Automated_Test_Report.md,Validation,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/05_Validation_Testing/Templates/Automated_Test_Report.md,,
TMP-VAL-PERFORMANCE,Performance Benchmark.md,05_Validation_Testing/Templates/Performance_Benchmark.md,Validation,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/05_Validation_Testing/Templates/Performance_Benchmark.md,,
TMP-VAL-TEST-STRATEG,Test Strategy.md,05_Validation_Testing/Templates/Test_Strategy.md,Validation,v1.0,Draft,,2025-10-22,https://github.com/EhsanLasani/ELA-Main/blob/main/05_Validation_Testing/Templates/Test_Strategy.md,,
